rok_szkolny,semestr,Dziennik,liczba_uczniow,liczba_odstajacych,frekwencja_z_odstajacymi,frekwencja_bez_odstajacych,pct_odstajacych
2021/2022,II,1TW5,24.0,1.0,76.7,78.1,4.2
2021/2022,II,2M,16.0,2.0,55.3,62.5,12.5
2021/2022,II,2TM5,19.0,0.0,80.4,80.4,0.0
2021/2022,II,2TW5,13.0,0.0,77.1,77.1,0.0
2021/2022,II,2TŻ5,13.0,0.0,71.5,71.5,0.0
2021/2022,II,3MK,23.0,2.0,57.1,61.8,8.7
2021/2022,II,3RŻ5,30.0,2.0,65.3,67.6,6.7
2021/2022,II,3TM5,22.0,1.0,71.3,72.4,4.5
2021/2022,II,3TMR,23.0,0.0,64.5,64.5,0.0
2021/2022,II,3TR,17.0,0.0,67.9,67.9,0.0
2021/2022,II,3TŻ,21.0,1.0,65.0,67.7,4.8
2021/2022,II,4TRM,25.0,0.0,58.0,58.0,0.0
2021/2022,II,4TŻ,20.0,1.0,67.0,70.5,5.0
2022/2023,I,1MK,33.0,0.0,80.0,80.0,0.0
2022/2023,I,1TM5,23.0,0.0,86.4,86.4,0.0
2022/2023,I,1TR5,21.0,2.0,84.0,86.0,9.5
2022/2023,I,1TW5,24.0,1.0,86.7,87.6,4.2
2022/2023,I,1TŻ5,24.0,0.0,88.6,88.6,0.0
2022/2023,I,2M,14.0,0.0,75.9,75.9,0.0
2022/2023,I,2RŻ5,25.0,0.0,85.3,85.3,0.0
2022/2023,I,2TM5,22.0,1.0,80.2,80.9,4.5
2022/2023,I,2TW5,23.0,0.0,85.7,85.7,0.0
2022/2023,I,3M,14.0,0.0,62.7,62.7,0.0
2022/2023,I,3TM5,19.0,1.0,77.9,79.0,5.3
2022/2023,I,3TW5,13.0,0.0,84.3,84.3,0.0
2022/2023,I,3TŻ5,13.0,0.0,75.0,75.0,0.0
2022/2023,I,4RŻ5,29.0,2.0,72.5,74.5,6.9
2022/2023,I,4TM5,22.0,0.0,82.9,82.9,0.0
2022/2023,I,4TMR,23.0,0.0,63.4,63.4,0.0
2022/2023,I,4TR,17.0,0.0,74.7,74.7,0.0
2022/2023,I,4TŻ,20.0,0.0,73.7,73.7,0.0
2022/2023,II,1MK,30.0,1.0,73.5,75.6,3.3
2022/2023,II,1TM5,23.0,0.0,75.1,75.1,0.0
2022/2023,II,1TR5,19.0,0.0,68.6,68.6,0.0
2022/2023,II,1TW5,24.0,0.0,72.5,72.5,0.0
2022/2023,II,1TŻ5,22.0,1.0,73.2,74.8,4.5
2022/2023,II,2M,14.0,1.0,58.4,62.5,7.1
2022/2023,II,2RŻ5,25.0,0.0,69.3,69.3,0.0
2022/2023,II,2TM5,22.0,0.0,68.2,68.2,0.0
2022/2023,II,2TW5,23.0,0.0,73.0,73.0,0.0
2022/2023,II,3M,13.0,0.0,63.2,63.2,0.0
2022/2023,II,3TM5,19.0,0.0,60.6,60.6,0.0
2022/2023,II,3TW5,13.0,0.0,66.6,66.6,0.0
2022/2023,II,3TŻ5,13.0,0.0,70.0,70.0,0.0
2022/2023,II,4RŻ5,29.0,0.0,57.1,57.1,0.0
2022/2023,II,4TM5,22.0,0.0,67.6,67.6,0.0
